sample_id,patient_id,year,timepoint,bam,fastq,demux,barcode,barcode_fasta,STC,project
260220_2_smrtcap_pool_5_BA_CAP188,CAP188,,6090,,/home/c0murr09/BMG/smithlab/MelissaRose_smrtcap_2026/m84194_260220_125819_s2.fastq,TRUE,univ_v3_bc1002--univ_v3_bc1002,/home/c0murr09/barcodes_2026/FL_IGcapPrimers_first21.fasta,,Melissa-Rose 2026
260220_2_smrtcap_pool_5_BA_CAP206,CAP206,,6130,,/home/c0murr09/BMG/smithlab/MelissaRose_smrtcap_2026/m84194_260220_125819_s2.fastq,TRUE,univ_v3_bc1017--univ_v3_bc1017,/home/c0murr09/barcodes_2026/FL_IGcapPrimers_first21.fasta,,Melissa-Rose 2026
260220_2_smrtcap_pool_5_BA_CAP287,CAP287,,1060,,/home/c0murr09/BMG/smithlab/MelissaRose_smrtcap_2026/m84194_260220_125819_s2.fastq,TRUE,univ_v3_bc1001--univ_v3_bc1001,/home/c0murr09/barcodes_2026/FL_IGcapPrimers_first21.fasta,,Melissa-Rose 2026
260220_2_smrtcap_pool_5_BA_CAP337,CAP337,,7040,,/home/c0murr09/BMG/smithlab/MelissaRose_smrtcap_2026/m84194_260220_125819_s2.fastq,TRUE,univ_v3_bc1004--univ_v3_bc1004,/home/c0murr09/barcodes_2026/FL_IGcapPrimers_first21.fasta,,Melissa-Rose 2026
260313_2_HiFi-SMRTcap_BA_pool_2_CAP217,CAP217,,6061,,/home/c0murr09/BMG/smithlab/MelissaRose_smrtcap_2026/m84194_260313_163533_s2.fastq,TRUE,univ_v3_bc1005--univ_v3_bc1005,/home/c0murr09/barcodes_2026/FL_IGcapPrimers_first21.fasta,,Melissa-Rose 2026
260313_2_HiFi-SMRTcap_BA_pool_2_CAP222,CAP222,,6130,,/home/c0murr09/BMG/smithlab/MelissaRose_smrtcap_2026/m84194_260313_163533_s2.fastq,TRUE,univ_v3_bc1006--univ_v3_bc1006,/home/c0murr09/barcodes_2026/FL_IGcapPrimers_first21.fasta,,Melissa-Rose 2026
260313_2_HiFi-SMRTcap_BA_pool_2_CAP268,CAP268,,6110,,/home/c0murr09/BMG/smithlab/MelissaRose_smrtcap_2026/m84194_260313_163533_s2.fastq,TRUE,univ_v3_bc1007--univ_v3_bc1007,/home/c0murr09/barcodes_2026/FL_IGcapPrimers_first21.fasta,,Melissa-Rose 2026
260313_2_HiFi-SMRTcap_BA_pool_2_CAP277,CAP277,,6040,,/home/c0murr09/BMG/smithlab/MelissaRose_smrtcap_2026/m84194_260313_163533_s2.fastq,TRUE,univ_v3_bc1008--univ_v3_bc1008,/home/c0murr09/barcodes_2026/FL_IGcapPrimers_first21.fasta,,Melissa-Rose 2026
260313_2_HiFi-SMRTcap_BA_pool_2_CAP316,CAP316,,6130,,/home/c0murr09/BMG/smithlab/MelissaRose_smrtcap_2026/m84194_260313_163533_s2.fastq,TRUE,univ_v3_bc1003--univ_v3_bc1003,/home/c0murr09/barcodes_2026/FL_IGcapPrimers_first21.fasta,,Melissa-Rose 2026
260220_3-SMRTcap_LT_pool_1_CAP221,CAP221,,6100,,/home/c0murr09/BMG/smithlab/MelissaRose_smrtcap_2026/m84194_260220_150122_s3.fastq,TRUE,univ_v3_bc1015--univ_v3_bc1015,/home/c0murr09/barcodes_2026/FL_IGcapPrimers_first21.fasta,,Melissa-Rose 2026
